"contrast","estimate","SE","df","z.ratio","p.value"
"c_norm0.491022240827014 BA A - c_norm0.491022240827014 AB B",1.50960111445549,2.4239943304072,Inf,0.622774193618638,0.533432919029391
"c_norm0.491022240827014 BA A - c_norm0.648364898169672 AB B",-1.10169521913591,2.63085281917856,Inf,-0.418759731104951,0.675391737353877
"c_norm0.491022240827014 BA A - (c_norm-0.236250486445713 BA B)",3.75321985291964,1.44392804137183,Inf,2.59931225475324,0.00934107600508523
"c_norm0.491022240827014 BA A - (c_norm-0.203437986445713 BA B)",3.64838979013956,1.43432509147285,Inf,2.54362822754023,0.0109707781573143
"c_norm0.491022240827014 BA A - (c_norm-0.10291715311238 BA B)",3.32724372479739,1.41015401200244,Inf,2.35948959934714,0.0183000938413292
"c_norm0.491022240827014 BA A - c_norm0.138749513554287 BA B",2.55516199257582,1.38616941037912,Inf,1.84332591200161,0.0652814400597247
"c_norm0.491022240827014 BA A - c_norm0.491022240827014 BA B",1.42971369952556,1.43952231455819,Inf,0.993186201468756,0.320619221491136
"c_norm0.491022240827014 BA A - c_norm0.648364898169672 BA B",0.927032079800877,1.49492624693353,Inf,0.620118940116582,0.535179483468006
"c_norm0.648364898169672 BA A - (c_norm-0.236250486445713 AB B)",12.006780135881,3.1124958341324,Inf,3.85760520679632,0.000114503398430425
"c_norm0.648364898169672 BA A - (c_norm-0.203437986445713 AB B)",11.4622160463133,3.04098702983781,Inf,3.7692420039439,0.000163744066120024
"c_norm0.648364898169672 BA A - (c_norm-0.10291715311238 AB B)",9.79394827985982,2.84079468937867,Inf,3.44760862743021,0.000565572924794148
"c_norm0.648364898169672 BA A - c_norm0.138749513554287 AB B",5.78319054082147,2.50827990252913,Inf,2.30564002645407,0.0211307547884953
"c_norm0.648364898169672 BA A - c_norm0.491022240827014 AB B",-0.0632118060525914,2.52209621603944,Inf,-0.0250632016536846,0.980004551781862
"c_norm0.648364898169672 BA A - c_norm0.648364898169672 AB B",-2.674508139644,2.72254774391666,Inf,-0.98235490841988,0.325925032532826
"c_norm0.648364898169672 BA A - (c_norm-0.236250486445713 BA B)",2.18040693241155,1.60282121760774,Inf,1.36035567065045,0.173717399285276
"c_norm0.648364898169672 BA A - (c_norm-0.203437986445713 BA B)",2.07557686963147,1.5941880154181,Inf,1.30196491854012,0.192928378353606
"c_norm0.648364898169672 BA A - (c_norm-0.10291715311238 BA B)",1.75443080428931,1.57251444299528,Inf,1.11568501777797,0.26455698589349
"c_norm0.648364898169672 BA A - c_norm0.138749513554287 BA B",0.982349072067729,1.55113583223057,Inf,0.633309508848808,0.526531544959483
"c_norm0.648364898169672 BA A - c_norm0.491022240827014 BA B",-0.143099220982526,1.59912572438309,Inf,-0.0894859102074235,0.928695750684074
"c_norm0.648364898169672 BA A - c_norm0.648364898169672 BA B",-0.64578084070721,1.64923360762544,Inf,-0.391564201530554,0.695380242911783
"(c_norm-0.236250486445713 AB B) - (c_norm-0.203437986445713 AB B)",-0.544564089567705,0.117043958257313,Inf,-4.65264587489874,3.27702755106788e-06
"(c_norm-0.236250486445713 AB B) - (c_norm-0.10291715311238 AB B)",-2.21283185602115,0.475607195458285,Inf,-4.65264587489874,3.27702755106787e-06
"(c_norm-0.236250486445713 AB B) - c_norm0.138749513554287 AB B",-6.2235895950595,1.33764523722643,Inf,-4.65264587489874,3.27702755106787e-06
"(c_norm-0.236250486445713 AB B) - c_norm0.491022240827014 AB B",-12.0699919419336,2.59422106613611,Inf,-4.65264587489874,3.27702755106788e-06
"(c_norm-0.236250486445713 AB B) - c_norm0.648364898169672 AB B",-14.681288275525,3.15547081602133,Inf,-4.65264587489874,3.27702755106787e-06
"(c_norm-0.236250486445713 AB B) - (c_norm-0.236250486445713 BA B)",-9.82637320346942,2.84777317506461,Inf,-3.45054630386652,0.000559453187906139
"(c_norm-0.236250486445713 AB B) - (c_norm-0.203437986445713 BA B)",-9.9312032662495,2.84353766109571,Inf,-3.49255204252251,0.000478428357926918
"(c_norm-0.236250486445713 AB B) - (c_norm-0.10291715311238 BA B)",-10.2523493315917,2.83333354351086,Inf,-3.61847596625977,0.000296343013711344
"(c_norm-0.236250486445713 AB B) - c_norm0.138749513554287 BA B",-11.0244310638132,2.82608194306108,Inf,-3.90095945055015,9.58122002005129e-05
"(c_norm-0.236250486445713 AB B) - c_norm0.491022240827014 BA B",-12.1498793568635,2.85927259946121,Inf,-4.24929031221191,2.14448844578859e-05
"(c_norm-0.236250486445713 AB B) - c_norm0.648364898169672 BA B",-12.6525609765882,2.89049589042865,Inf,-4.37729768739158,1.20159808557149e-05
"(c_norm-0.203437986445713 AB B) - (c_norm-0.10291715311238 AB B)",-1.66826776645344,0.358563237200973,Inf,-4.65264587489874,3.27702755106788e-06
"(c_norm-0.203437986445713 AB B) - c_norm0.138749513554287 AB B",-5.67902550549179,1.22060127896912,Inf,-4.65264587489874,3.27702755106788e-06
"(c_norm-0.203437986445713 AB B) - c_norm0.491022240827014 AB B",-11.5254278523659,2.47717710787879,Inf,-4.65264587489874,3.27702755106787e-06
"(c_norm-0.203437986445713 AB B) - c_norm0.648364898169672 AB B",-14.1367241859573,3.03842685776401,Inf,-4.65264587489874,3.27702755106788e-06
"(c_norm-0.203437986445713 AB B) - (c_norm-0.236250486445713 BA B)",-9.28180911390171,2.76729841556491,Inf,-3.35410487777371,0.000796221779368929
"(c_norm-0.203437986445713 AB B) - (c_norm-0.203437986445713 BA B)",-9.3866391766818,2.76287512307629,Inf,-3.39741709579344,0.000680251964481785
"(c_norm-0.203437986445713 AB B) - (c_norm-0.10291715311238 BA B)",-9.70778524202396,2.75217387512901,Inf,-3.52731538139788,0.000419796404337748
"(c_norm-0.203437986445713 AB B) - c_norm0.138749513554287 BA B",-10.4798669742455,2.74423024360358,Inf,-3.81887306966048,0.000134062718459896
"(c_norm-0.203437986445713 AB B) - c_norm0.491022240827014 BA B",-11.6053152672958,2.77771107934544,Inf,-4.17801381633635,2.9406579590017e-05
"(c_norm-0.203437986445713 AB B) - c_norm0.648364898169672 BA B",-12.1079968870205,2.80953709510898,Inf,-4.30960563151091,1.63545927933026e-05
"(c_norm-0.10291715311238 AB B) - c_norm0.138749513554287 AB B",-4.01075773903835,0.862038041768146,Inf,-4.65264587489874,3.27702755106787e-06
"(c_norm-0.10291715311238 AB B) - c_norm0.491022240827014 AB B",-9.85716008591241,2.11861387067782,Inf,-4.65264587489874,3.27702755106788e-06
"(c_norm-0.10291715311238 AB B) - c_norm0.648364898169672 AB B",-12.4684564195038,2.67986362056304,Inf,-4.65264587489874,3.27702755106788e-06
"(c_norm-0.10291715311238 AB B) - (c_norm-0.236250486445713 BA B)",-7.61354134744827,2.53853715999903,Inf,-2.99918451753181,0.00270703310072801
"(c_norm-0.10291715311238 AB B) - (c_norm-0.203437986445713 BA B)",-7.71837141022835,2.53349933730727,Inf,-3.04652592427035,0.00231502515050677
"(c_norm-0.10291715311238 AB B) - (c_norm-0.10291715311238 BA B)",-8.03951747557051,2.52116251246823,Inf,-3.18881366663659,0.00142857929565446
"(c_norm-0.10291715311238 AB B) - c_norm0.138749513554287 BA B",-8.81159920779209,2.51088983981738,Inf,-3.50935316558251,0.000449198010001353
"(c_norm-0.10291715311238 AB B) - c_norm0.491022240827014 BA B",-9.93704750084235,2.54514047763693,Inf,-3.90432181962252,9.44899771184038e-05
"(c_norm-0.10291715311238 AB B) - c_norm0.648364898169672 BA B",-10.439729120567,2.57882356704772,Inf,-4.04825256522633,5.16014470043068e-05
"c_norm0.138749513554287 AB B - c_norm0.491022240827014 AB B",-5.84640234687407,1.25657582890968,Inf,-4.65264587489874,3.27702755106787e-06
"c_norm0.138749513554287 AB B - c_norm0.648364898169672 AB B",-8.45769868046547,1.81782557879489,Inf,-4.65264587489874,3.27702755106788e-06
"c_norm0.138749513554287 AB B - (c_norm-0.236250486445713 BA B)",-3.60278360840992,2.13969563728515,Inf,-1.68378321927185,0.0922235714074406
"c_norm0.138749513554287 AB B - (c_norm-0.203437986445713 BA B)",-3.70761367119,2.13310192220424,Inf,-1.73813245049198,0.0821874781664201
"c_norm0.138749513554287 AB B - (c_norm-0.10291715311238 BA B)",-4.02875973653217,2.11653823851761,Inf,-1.90346654892181,0.0569796945461155
"c_norm0.138749513554287 AB B - c_norm0.138749513554287 BA B",-4.80084146875374,2.0996983774834,Inf,-2.2864433864581,0.022228332577436
"c_norm0.138749513554287 AB B - c_norm0.491022240827014 BA B",-5.926289761804,2.13395415605006,Inf,-2.77714014849014,0.00548395272242471
"c_norm0.138749513554287 AB B - c_norm0.648364898169672 BA B",-6.42897138152868,2.17112418399628,Inf,-2.96112559056627,0.00306516920885145
"c_norm0.491022240827014 AB B - c_norm0.648364898169672 AB B",-2.61129633359141,0.561249749885218,Inf,-4.65264587489874,3.27702755106787e-06
"c_norm0.491022240827014 AB B - (c_norm-0.236250486445713 BA B)",2.24361873846415,2.12618189731181,Inf,1.05523367558571,0.291318466126367
"c_norm0.491022240827014 AB B - (c_norm-0.203437986445713 BA B)",2.13878867568406,2.11864447513659,Inf,1.00950806083035,0.312731037730993
"c_norm0.491022240827014 AB B - (c_norm-0.10291715311238 BA B)",1.8176426103419,2.09918026129739,Inf,0.865882098766742,0.386554820895573
"c_norm0.491022240827014 AB B - c_norm0.138749513554287 BA B",1.04556087812032,2.07543049298907,Inf,0.503780243015745,0.614415812761772
"c_norm0.491022240827014 AB B - c_norm0.491022240827014 BA B",-0.0798874149299342,2.1003361858268,Inf,-0.0380355371054498,0.969659348005449
"c_norm0.491022240827014 AB B - c_norm0.648364898169672 BA B",-0.582569034654618,2.13380116093553,Inf,-0.273019363434594,0.784838330961191
"c_norm0.648364898169672 AB B - (c_norm-0.236250486445713 BA B)",4.85491507205555,2.34843674462622,Inf,2.06729650401049,0.0387062234805695
"c_norm0.648364898169672 AB B - (c_norm-0.203437986445713 BA B)",4.75008500927547,2.34125036017098,Inf,2.02886675004231,0.0424718642306176
"c_norm0.648364898169672 AB B - (c_norm-0.10291715311238 BA B)",4.42893894393331,2.3225261455954,Inf,1.90694901425874,0.0565271901931862
"c_norm0.648364898169672 AB B - c_norm0.138749513554287 BA B",3.65685721171173,2.29834953867726,Inf,1.59107966398197,0.11159164851024
"c_norm0.648364898169672 AB B - c_norm0.491022240827014 BA B",2.53140891866147,2.31691311509706,Inf,1.09257826811319,0.274579008647946
"c_norm0.648364898169672 AB B - c_norm0.648364898169672 BA B",2.02872729893679,2.34554833830316,Inf,0.864926663760181,0.387079041715315
"(c_norm-0.236250486445713 BA B) - (c_norm-0.203437986445713 BA B)",-0.104830062780084,0.035761238267266,Inf,-2.93138794570323,0.00337451081034541
"(c_norm-0.236250486445713 BA B) - (c_norm-0.10291715311238 BA B)",-0.425976128122247,0.145315507879684,Inf,-2.93138794570322,0.00337451081034542
